date,category,forecast_demand_kg,wholesale_price,eff_cost,markup_rate,sales_price,order_quantity_kg,expected_profit
2023-07-01,水生根茎类,21.98,11.85,13.72,0.2,16.47,21.98,60.33
2023-07-02,水生根茎类,22.0,11.84,13.72,0.2,16.46,22.0,60.36
2023-07-03,水生根茎类,22.0,11.84,13.71,0.2,16.46,22.0,60.36
2023-07-04,水生根茎类,22.0,11.84,13.71,0.2,16.46,22.0,60.36
2023-07-05,水生根茎类,22.0,11.84,13.71,0.2,16.46,22.0,60.36
2023-07-06,水生根茎类,22.0,11.84,13.71,0.2,16.46,22.0,60.36
2023-07-07,水生根茎类,22.0,11.84,13.71,0.2,16.46,22.0,60.36
2023-07-01,花叶类,197.41,3.71,4.26,0.2,5.11,197.41,168.14
2023-07-02,花叶类,196.55,3.76,4.31,0.2,5.18,196.55,169.63
2023-07-03,花叶类,196.36,3.77,4.33,0.2,5.19,196.36,169.96
2023-07-04,花叶类,196.31,3.78,4.33,0.2,5.2,196.31,170.04
2023-07-05,花叶类,196.3,3.78,4.33,0.2,5.2,196.3,170.06
2023-07-06,花叶类,196.3,3.78,4.33,0.2,5.2,196.3,170.06
2023-07-07,花叶类,196.3,3.78,4.33,0.2,5.2,196.3,170.06
2023-07-01,花菜类,33.73,7.96,9.42,0.2,11.31,33.73,63.56
2023-07-02,花菜类,33.64,7.98,9.45,0.2,11.34,33.64,63.58
2023-07-03,花菜类,33.63,7.99,9.45,0.2,11.35,33.63,63.58
2023-07-04,花菜类,33.62,7.99,9.46,0.2,11.35,33.62,63.58
2023-07-05,花菜类,33.62,7.99,9.46,0.2,11.35,33.62,63.58
2023-07-06,花菜类,33.62,7.99,9.46,0.2,11.35,33.62,63.58
2023-07-07,花菜类,33.62,7.99,9.46,0.2,11.35,33.62,63.58
2023-07-01,茄类,24.41,4.47,4.79,0.2,5.75,24.41,23.38
2023-07-02,茄类,24.4,4.48,4.8,0.2,5.76,24.4,23.42
2023-07-03,茄类,24.4,4.48,4.8,0.2,5.76,24.4,23.42
2023-07-04,茄类,24.4,4.48,4.8,0.2,5.76,24.4,23.42
2023-07-05,茄类,24.4,4.48,4.8,0.2,5.76,24.4,23.42
2023-07-06,茄类,24.4,4.48,4.8,0.2,5.76,24.4,23.42
2023-07-07,茄类,24.4,4.48,4.8,0.2,5.76,24.4,23.42
2023-07-01,辣椒类,87.73,5.95,6.56,0.2,7.87,87.73,115.03
2023-07-02,辣椒类,87.71,5.96,6.57,0.2,7.88,87.71,115.23
2023-07-03,辣椒类,87.71,5.96,6.57,0.2,7.88,87.71,115.24
2023-07-04,辣椒类,87.71,5.96,6.57,0.2,7.88,87.71,115.24
2023-07-05,辣椒类,87.71,5.96,6.57,0.2,7.88,87.71,115.24
2023-07-06,辣椒类,87.71,5.96,6.57,0.2,7.88,87.71,115.24
2023-07-07,辣椒类,87.71,5.96,6.57,0.2,7.88,87.71,115.24
2023-07-01,食用菌,107.98,4.73,5.23,0.2,6.27,107.98,112.92
2023-07-02,食用菌,107.88,4.75,5.24,0.2,6.29,107.88,113.09
2023-07-03,食用菌,107.87,4.75,5.24,0.2,6.29,107.87,113.11
2023-07-04,食用菌,107.87,4.75,5.24,0.2,6.29,107.87,113.11
2023-07-05,食用菌,107.87,4.75,5.24,0.2,6.29,107.87,113.11
2023-07-06,食用菌,107.87,4.75,5.24,0.2,6.29,107.87,113.11
2023-07-07,食用菌,107.87,4.75,5.24,0.2,6.29,107.87,113.11
