date,category,forecast_mu_kg,forecast_sigma_kg,wholesale_price,eff_cost,markup_rate,sales_price,order_quantity_kg,cost_plus_profit_percent,expected_profit,profit_wholesale_plus10pct
2023-07-01,水生根茎类,17.27,25.98,11.67,13.51,1.5,33.78,23.85,150.0,22.68,12.16
2023-07-02,水生根茎类,27.37,25.98,11.9,13.78,0.1128,15.33,0.1,11.3,-1.38,-1.52
2023-07-03,水生根茎类,11.02,25.98,12.01,13.9,0.316,18.3,0.1,31.6,-1.39,-1.53
2023-07-04,水生根茎类,8.44,25.98,11.71,13.56,0.3171,17.86,0.1,31.7,-1.36,-1.49
2023-07-05,水生根茎类,12.64,25.98,11.69,13.54,0.316,17.82,0.1,31.6,-1.35,-1.49
2023-07-06,水生根茎类,13.89,25.98,11.9,13.78,0.316,18.13,0.1,31.6,-1.38,-1.52
2023-07-07,水生根茎类,17.19,25.98,11.97,13.87,0.2144,16.84,0.1,21.4,-1.39,-1.53
2023-07-01,花叶类,121.59,88.6,3.64,4.17,1.5,10.43,144.04,150.0,741.48,444.12
2023-07-02,花叶类,106.98,88.6,3.62,4.15,1.5,10.38,129.43,150.0,593.35,342.09
2023-07-03,花叶类,74.47,88.6,3.78,4.34,1.5,10.85,96.92,150.0,283.19,124.76
2023-07-04,花叶类,70.73,88.6,3.66,4.2,1.5,10.51,93.17,150.0,236.71,94.88
2023-07-05,花叶类,71.96,88.6,3.63,4.17,1.5,10.42,94.4,150.0,247.04,102.57
2023-07-06,花叶类,88.33,88.6,3.82,4.38,1.5,10.96,110.77,150.0,431.09,226.22
2023-07-07,花叶类,84.24,88.6,3.68,4.23,1.5,10.56,106.68,150.0,374.27,189.55
2023-07-01,花菜类,16.19,16.57,7.92,9.37,1.5,23.42,20.39,150.0,127.46,85.31
2023-07-02,花菜类,14.7,16.57,7.84,9.29,1.5,23.21,18.9,150.0,96.64,61.68
2023-07-03,花菜类,9.78,16.57,7.97,9.44,1.5,23.6,13.98,150.0,-1.12,-13.85
2023-07-04,花菜类,9.57,16.57,7.84,9.27,1.5,23.18,13.77,150.0,-5.22,-16.79
2023-07-05,花菜类,9.78,16.57,7.89,9.34,1.5,23.36,13.97,150.0,-1.21,-13.79
2023-07-06,花菜类,11.68,16.57,7.95,9.4,1.5,23.51,15.88,150.0,37.21,15.73
2023-07-07,花菜类,13.53,16.57,8.04,9.51,1.5,23.79,17.73,150.0,75.25,44.88
2023-07-01,茄类,11.81,8.6,4.39,4.7,0.785,8.39,10.5,78.5,15.11,16.62
2023-07-02,茄类,11.74,8.6,4.5,4.82,0.7701,8.53,10.33,77.0,14.68,16.14
2023-07-03,茄类,11.22,8.6,4.56,4.89,0.342,6.56,5.55,34.2,0.64,0.7
2023-07-04,茄类,11.82,8.6,4.53,4.85,0.2268,5.95,4.1,22.7,-0.66,-0.72
2023-07-05,茄类,11.48,8.6,4.37,4.68,0.2776,5.98,4.76,27.8,-0.2,-0.22
2023-07-06,茄类,11.3,8.6,4.52,4.84,0.3174,6.38,5.25,31.7,0.27,0.3
2023-07-07,茄类,11.04,8.6,4.5,4.82,0.4971,7.22,7.31,49.7,3.93,4.33
2023-07-01,辣椒类,65.71,48.59,6.01,6.63,1.5,16.56,78.02,150.0,547.19,376.29
2023-07-02,辣椒类,55.14,48.59,5.95,6.55,1.5,16.38,67.45,150.0,388.97,257.84
2023-07-03,辣椒类,34.5,48.59,5.87,6.47,1.5,16.17,46.81,150.0,90.67,34.24
2023-07-04,辣椒类,35.32,48.59,5.77,6.36,1.5,15.9,47.63,150.0,100.67,42.3
2023-07-05,辣椒类,35.53,48.59,5.96,6.57,1.5,16.42,47.84,150.0,106.94,45.94
2023-07-06,辣椒类,43.17,48.59,5.92,6.53,1.5,16.31,55.48,150.0,215.77,127.9
2023-07-07,辣椒类,52.0,48.59,5.99,6.6,1.5,16.51,64.31,150.0,346.52,225.69
2023-07-01,食用菌,36.72,41.98,4.63,5.11,0.9391,9.91,35.07,93.9,10.4,11.44
2023-07-02,食用菌,53.38,41.98,4.7,5.19,0.0888,5.65,0.1,8.9,-0.52,-0.57
2023-07-03,食用菌,26.37,41.98,4.56,5.03,0.2206,6.14,0.1,22.1,-0.5,-0.55
2023-07-04,食用菌,20.41,41.98,4.73,5.23,0.316,6.88,0.1,31.6,-0.52,-0.58
2023-07-05,食用菌,27.7,41.98,4.64,5.12,0.1785,6.03,0.1,17.8,-0.51,-0.56
2023-07-06,食用菌,39.43,41.98,4.63,5.11,0.1516,5.89,0.1,15.2,-0.51,-0.56
2023-07-07,食用菌,50.18,41.98,4.79,5.29,0.0993,5.81,0.1,9.9,-0.53,-0.58
