item_code,item_name,category,eff_cost,sales_price,order_quantity_kg,expected_profit
102900005115250,西峡花菇(1),食用菌,17.49,20.99,4.62,16.17
102900005115762,苋菜,花叶类,2.95,3.54,8.92,5.26
102900005115779,云南生菜,花叶类,6.2,7.44,2.92,3.62
102900005115786,竹叶菜,花叶类,2.82,3.38,13.3,7.5
102900005115823,上海青,花叶类,4.8,5.76,3.86,3.71
102900005115946,木耳菜,花叶类,3.51,4.21,5.93,4.17
102900005116257,紫茄子(2),茄类,4.02,4.82,10.9,8.76
102900005116714,西兰花,花菜类,9.22,11.06,12.56,23.15
102900005116899,净藕(1),水生根茎类,11.47,13.77,6.03,13.83
102900005118831,娃娃菜,花叶类,4.79,5.75,10.43,9.99
102900005119975,红薯尖,花叶类,3.69,4.43,4.51,3.33
102900011000328,螺丝椒,辣椒类,7.69,9.22,6.84,10.52
102900011001691,菱角,水生根茎类,10.33,12.39,2.5,5.16
102900011008164,奶白菜,花叶类,3.04,3.64,7.49,4.55
102900011016701,芜湖青椒(1),辣椒类,3.46,4.15,14.23,9.85
102900011022764,长线茄,茄类,7.6,9.12,4.21,6.4
102900011023464,小青菜(1),花叶类,3.22,3.87,4.9,3.16
102900011030059,云南生菜(份),花叶类,3.74,4.48,32.29,24.12
102900011030097,云南油麦菜(份),花叶类,3.13,3.75,21.29,13.31
102900011030110,菠菜(份),花叶类,4.19,5.03,9.8,8.21
102900011031100,小米椒(份),辣椒类,2.39,2.87,21.43,10.24
102900011032022,小皱皮(份),辣椒类,1.63,1.95,11.29,3.67
102900011032251,螺丝椒(份),辣椒类,3.43,4.12,11.29,7.75
102900011032343,七彩椒(2),辣椒类,13.48,16.18,2.5,6.74
102900011032848,姜蒜小米椒组合装(小份),辣椒类,2.8,3.36,7.0,3.92
102900011034026,枝江青梗散花,花菜类,10.68,12.81,6.3,13.45
102900011034330,双孢菇(盒),食用菌,3.36,4.03,10.0,6.72
102900011035078,红椒(2),辣椒类,14.56,17.47,2.5,7.28
106949711300259,金针菇(盒),食用菌,1.46,1.75,16.14,4.72
106971533450003,海鲜菇(包),食用菌,1.96,2.35,8.86,3.47
