item_code,item_name,category,avg_wholesale,eff_cost,base_demand_kg,markup_rate,sales_price,order_quantity_kg,expected_profit
102900005115250,西峡花菇(1),食用菌,15.6,17.49,4.62,3.0,69.96,2.5,131.17
102900005115779,云南生菜,花叶类,5.25,6.2,2.92,3.0,24.79,2.5,46.48
102900005115823,上海青,花叶类,4.11,4.8,3.86,3.0,19.2,2.53,36.37
102900005115908,菜心,花叶类,4.02,4.66,2.5,3.0,18.62,2.5,34.92
102900005115984,云南油麦菜,花叶类,3.87,4.44,2.5,3.0,17.77,2.5,33.32
102900005116257,紫茄子(2),茄类,3.77,4.02,10.9,3.0,16.07,5.67,68.32
102900005116714,西兰花,花菜类,8.36,9.22,12.56,3.0,36.87,5.75,159.05
102900005116899,净藕(1),水生根茎类,10.84,11.47,6.03,3.0,45.9,2.5,86.05
102900005118817,菠菜,花叶类,9.65,11.85,2.5,3.0,47.38,2.5,88.85
102900011000328,螺丝椒,辣椒类,6.9,7.69,6.84,3.0,30.75,2.5,57.65
102900011001691,菱角,水生根茎类,9.33,10.33,2.5,3.0,41.31,2.5,77.46
102900011006948,外地茼蒿,花叶类,8.29,11.23,2.5,3.0,44.91,2.5,84.2
102900011007969,红莲藕带,水生根茎类,5.64,6.77,2.5,3.0,27.07,2.5,50.75
102900011013274,白玉菇(袋),食用菌,3.5,3.75,2.5,3.0,15.0,2.5,28.12
102900011018132,野生粉藕,水生根茎类,16.06,18.4,2.5,3.0,73.59,2.5,137.99
102900011022764,长线茄,茄类,7.07,7.6,4.21,3.0,30.39,2.5,56.98
102900011023464,小青菜(1),花叶类,2.89,3.22,4.9,3.0,12.9,3.15,30.52
102900011030059,云南生菜(份),花叶类,3.38,3.74,32.29,3.0,14.94,17.96,201.33
102900011030097,云南油麦菜(份),花叶类,2.83,3.13,21.29,3.0,12.5,12.48,117.04
102900011030929,鲜木耳(份),食用菌,1.3,1.44,4.0,3.0,5.74,2.5,10.77
102900011031100,小米椒(份),辣椒类,2.16,2.39,21.43,2.1231,7.46,14.68,74.46
102900011032343,七彩椒(2),辣椒类,12.21,13.48,2.5,3.0,53.93,2.5,101.13
102900011032848,姜蒜小米椒组合装(小份),辣椒类,2.53,2.8,7.0,2.1231,8.74,2.83,16.82
102900011033982,紫茄子(1),茄类,4.76,5.25,2.5,3.0,21.0,2.5,39.38
102900011034026,枝江青梗散花,花菜类,9.67,10.68,6.3,3.0,42.7,2.66,85.06
102900011034330,双孢菇(盒),食用菌,3.35,3.36,10.0,3.0,13.43,3.48,35.01
102900011034439,青红杭椒组合装(份),辣椒类,3.11,3.44,2.5,3.0,13.74,2.5,25.77
102900011035078,红椒(2),辣椒类,13.19,14.56,2.5,3.0,58.23,2.5,109.19
102900011035740,蟹味菇与白玉菇双拼(盒),食用菌,3.17,3.19,2.5,3.0,12.78,2.5,23.96
102900011036686,木耳菜(份),花叶类,1.46,1.61,2.5,3.0,6.44,2.5,12.07
